year,experience_ord,role_encoded,num_skills,skill_count,avg_skill_trend_score,demand_index,salary_vs_median,salary_cagr_5yr,future_proof,salary_usd,automation_risk,job_role,experience_level,risk_label
2025,2,10,6,6,7.1,137.3,1.075,0.0445,0,159942.0,0.7,Digital Marketer,Mid,High Risk
2024,3,9,6,6,6.07,150.8,1.375,0.061,0,267402.0,0.791,DevOps Engineer,Senior,Critical Risk
2021,4,4,4,4,7.05,120.2,1.41,0.0635,1,324286.0,0.259,Cloud Architect,Lead,Moderate Risk
2023,4,12,4,4,7.08,146.2,0.959,0.0709,0,220602.0,0.458,Financial Analyst,Lead,Moderate Risk
2022,3,19,6,6,6.73,118.4,1.078,0.0467,0,209567.0,0.98,SEO Specialist,Senior,Critical Risk
2022,5,2,3,3,4.37,134.5,0.841,0.0454,0,215159.0,0.98,BI Developer,Principal,Critical Risk
2024,1,3,4,4,7.2,121.9,1.114,0.072,0,121978.0,0.473,Business Analyst,Entry,Moderate Risk
2022,1,9,6,6,4.75,111.3,1.11,0.061,0,121594.0,0.98,DevOps Engineer,Entry,Critical Risk
2019,3,5,3,3,4.23,95.1,0.491,0.0492,0,95483.0,0.98,Content Strategist,Senior,Critical Risk
2025,1,2,4,4,6.88,140.3,1.056,0.0454,0,115668.0,0.672,BI Developer,Entry,High Risk
2021,4,22,6,6,5.28,113.4,1.001,0.0662,0,230316.0,0.98,Statistician,Lead,Critical Risk
2025,1,8,6,6,6.93,154.8,1.442,0.0881,0,157889.0,0.483,Data Scientist,Entry,Moderate Risk
2019,4,10,3,3,8.57,105.7,0.844,0.0445,1,194150.0,0.107,Digital Marketer,Lead,Low Risk
2025,5,16,3,3,6.4,174.8,0.953,0.0783,0,243849.0,0.819,Operations Analyst,Principal,Critical Risk
2023,1,23,3,3,6.9,141.6,0.808,0.0549,0,88440.0,0.554,Supply Chain Analyst,Entry,High Risk
2024,1,21,4,4,3.75,148.7,0.872,0.044,0,95484.0,0.98,Software Developer,Entry,Critical Risk
2023,4,4,5,5,7.52,107.4,1.581,0.0635,1,363716.0,0.253,Cloud Architect,Lead,Moderate Risk
2023,5,1,3,3,3.6,150.8,0.692,0.0589,0,176962.0,0.98,Accountant,Principal,Critical Risk
2022,3,11,6,6,5.82,116.1,0.924,-0.0074,0,179768.0,0.98,Excel Analyst,Senior,Critical Risk
2021,1,11,4,4,3.0,102.5,0.528,-0.0074,0,57784.0,0.98,Excel Analyst,Entry,Critical Risk
2022,3,4,3,3,8.67,128.5,1.405,0.0635,1,273188.0,0.05,Cloud Architect,Senior,Low Risk
2019,1,7,6,6,6.9,101.0,1.219,0.1045,0,133445.0,0.683,Data Engineer,Entry,High Risk
2023,5,8,6,6,8.23,138.8,1.561,0.0881,1,399337.0,0.05,Data Scientist,Principal,Low Risk
2020,5,12,4,4,8.38,106.9,1.11,0.0709,1,283860.0,0.05,Financial Analyst,Principal,Low Risk
2020,3,18,6,6,6.22,106.6,1.152,0.0194,0,224001.0,0.98,QA Engineer,Senior,Critical Risk
2023,4,20,5,5,6.3,100.9,0.956,0.0651,0,219922.0,0.98,SQL Developer,Lead,Critical Risk
2025,4,4,4,4,5.72,125.2,1.436,0.0635,0,330263.0,0.851,Cloud Architect,Lead,Critical Risk
2021,4,2,6,6,6.27,115.9,1.086,0.0454,0,249868.0,0.768,BI Developer,Lead,Critical Risk
2022,1,9,4,4,4.92,141.8,1.026,0.061,0,112343.0,0.98,DevOps Engineer,Entry,Critical Risk
2022,2,16,3,3,1.73,122.4,0.56,0.0783,0,83220.0,0.98,Operations Analyst,Mid,Critical Risk
2024,2,10,5,5,4.3,129.3,0.75,0.0445,0,111585.0,0.98,Digital Marketer,Mid,Critical Risk
2022,4,1,6,6,4.85,130.9,0.932,0.0589,0,214441.0,0.98,Accountant,Lead,Critical Risk
2019,2,15,3,3,2.33,97.8,1.002,0.0728,0,148994.0,0.98,Machine Learning Engineer,Mid,Critical Risk
2025,4,4,3,3,8.1,154.2,1.473,0.0635,1,338811.0,0.05,Cloud Architect,Lead,Low Risk
2023,5,12,5,5,4.52,128.9,0.766,0.0709,0,195899.0,0.98,Financial Analyst,Principal,Critical Risk
2020,1,9,5,5,6.22,99.6,1.197,0.061,0,131091.0,0.895,DevOps Engineer,Entry,Critical Risk
2021,4,4,6,6,6.18,120.8,1.457,0.0635,0,335091.0,0.827,Cloud Architect,Lead,Critical Risk
2019,1,0,5,5,4.7,98.9,1.328,0.0761,0,145383.0,0.98,AI Engineer,Entry,Critical Risk
2024,5,11,4,4,7.72,91.0,0.85,-0.0074,0,217440.0,0.495,Excel Analyst,Principal,Moderate Risk
2022,2,13,6,6,5.63,121.3,0.812,0.015,0,120699.0,0.98,HR Analyst,Mid,Critical Risk
2019,2,16,3,3,4.57,96.8,0.675,0.0783,0,100445.0,0.98,Operations Analyst,Mid,Critical Risk
2020,3,9,3,3,3.7,104.1,0.908,0.061,0,176566.0,0.98,DevOps Engineer,Senior,Critical Risk
2024,5,4,6,6,5.53,125.7,1.567,0.0635,0,400800.0,0.98,Cloud Architect,Principal,Critical Risk
2024,3,16,3,3,6.57,118.3,0.861,0.0783,0,167527.0,0.78,Operations Analyst,Senior,Critical Risk
2021,2,15,6,6,5.22,108.7,1.217,0.0728,0,180988.0,0.98,Machine Learning Engineer,Mid,Critical Risk
2024,2,19,6,6,7.87,121.7,1.201,0.0467,0,178608.0,0.441,SEO Specialist,Mid,Moderate Risk
2021,4,6,6,6,5.52,115.3,0.783,0.0674,0,180029.0,0.98,Data Analyst,Lead,Critical Risk
2024,4,14,3,3,3.83,109.7,0.553,0.0167,0,127222.0,0.98,IT Support Specialist,Lead,Critical Risk
2021,5,11,6,6,3.8,97.3,0.602,-0.0074,0,154095.0,0.98,Excel Analyst,Principal,Critical Risk
2023,3,15,3,3,3.93,138.8,1.051,0.0728,0,204410.0,0.98,Machine Learning Engineer,Senior,Critical Risk
2022,2,15,6,6,8.53,112.2,1.786,0.0728,1,265624.0,0.05,Machine Learning Engineer,Mid,Low Risk
2024,3,12,4,4,5.3,148.0,0.925,0.0709,0,179979.0,0.98,Financial Analyst,Senior,Critical Risk
2025,5,3,5,5,5.98,133.0,1.103,0.072,0,282177.0,0.98,Business Analyst,Principal,Critical Risk
2023,5,22,6,6,5.27,116.2,1.232,0.0662,0,315143.0,0.98,Statistician,Principal,Critical Risk
2024,2,4,4,4,5.22,132.9,1.306,0.0635,0,194203.0,0.98,Cloud Architect,Mid,Critical Risk
2019,1,13,5,5,6.98,105.8,0.92,0.015,0,100786.0,0.592,HR Analyst,Entry,High Risk
2025,1,17,3,3,5.07,124.2,1.111,0.0733,0,121623.0,0.609,Product Manager,Entry,High Risk
2022,4,20,5,5,5.74,101.5,0.952,0.0651,0,219012.0,0.98,SQL Developer,Lead,Critical Risk
2021,1,23,6,6,6.43,124.0,1.121,0.0549,0,122724.0,0.98,Supply Chain Analyst,Entry,Critical Risk
2022,2,20,5,5,5.96,118.3,1.109,0.0651,0,164954.0,0.98,SQL Developer,Mid,Critical Risk
2020,4,3,6,6,6.52,110.0,1.065,0.072,0,245017.0,0.98,Business Analyst,Lead,Critical Risk
2020,2,12,3,3,6.67,111.3,0.917,0.0709,0,136378.0,0.616,Financial Analyst,Mid,High Risk
2025,2,18,4,4,5.0,87.7,0.952,0.0194,0,141546.0,0.98,QA Engineer,Mid,Critical Risk
2021,3,9,4,4,5.32,115.5,1.155,0.061,0,224572.0,0.98,DevOps Engineer,Senior,Critical Risk
2019,2,1,4,4,5.05,105.4,0.644,0.0589,0,95767.0,0.98,Accountant,Mid,Critical Risk
2022,1,20,3,3,4.4,98.0,0.608,0.0651,0,66623.0,0.98,SQL Developer,Entry,Critical Risk
2022,2,4,3,3,5.87,121.2,1.211,0.0635,0,180125.0,0.469,Cloud Architect,Mid,Moderate Risk
2023,1,0,4,4,5.12,109.9,1.336,0.0761,0,146261.0,0.98,AI Engineer,Entry,Critical Risk
2025,4,11,4,4,5.2,106.5,0.747,-0.0074,0,171909.0,0.98,Excel Analyst,Lead,Critical Risk
2019,3,9,6,6,7.32,97.5,1.371,0.061,1,266555.0,0.163,DevOps Engineer,Senior,Low Risk
2019,3,6,3,3,5.53,101.2,0.615,0.0674,0,119693.0,0.651,Data Analyst,Senior,High Risk
2024,4,5,3,3,3.6,122.0,0.518,0.0492,0,119242.0,0.98,Content Strategist,Lead,Critical Risk
2019,1,0,4,4,6.62,109.2,1.304,0.0761,0,142751.0,0.127,AI Engineer,Entry,Low Risk
2025,1,13,4,4,8.67,115.5,1.054,0.015,1,115399.0,0.05,HR Analyst,Entry,Low Risk
2023,1,1,3,3,6.57,134.9,0.8,0.0589,0,87634.0,0.98,Accountant,Entry,Critical Risk
2020,3,10,5,5,6.36,118.0,0.955,0.0445,0,185645.0,0.98,Digital Marketer,Senior,Critical Risk
2024,1,15,5,5,6.08,143.1,1.518,0.0728,0,166229.0,0.719,Machine Learning Engineer,Entry,High Risk
2022,5,14,6,6,5.45,116.4,1.0,0.0167,0,255768.0,0.98,IT Support Specialist,Principal,Critical Risk
2023,1,23,3,3,6.57,118.8,0.911,0.0549,0,99738.0,0.97,Supply Chain Analyst,Entry,Critical Risk
2022,4,9,3,3,3.17,135.4,0.924,0.061,0,212659.0,0.98,DevOps Engineer,Lead,Critical Risk
2022,3,11,5,5,6.56,94.4,0.92,-0.0074,0,178991.0,0.98,Excel Analyst,Senior,Critical Risk
2024,2,3,3,3,8.07,149.9,0.863,0.072,1,128408.0,0.109,Business Analyst,Mid,Low Risk
2025,3,0,6,6,6.93,154.1,1.736,0.0761,0,337588.0,0.53,AI Engineer,Senior,High Risk
2020,3,14,4,4,2.97,87.3,0.404,0.0167,0,78497.0,0.98,IT Support Specialist,Senior,Critical Risk
2019,1,18,5,5,4.9,103.9,0.791,0.0194,0,86580.0,0.98,QA Engineer,Entry,Critical Risk
2024,3,21,4,4,8.35,145.3,1.289,0.044,1,250752.0,0.05,Software Developer,Senior,Low Risk
2019,2,3,5,5,6.28,107.5,0.924,0.072,0,137481.0,0.725,Business Analyst,Mid,High Risk
2024,1,21,3,3,6.17,122.0,1.076,0.044,0,117871.0,0.778,Software Developer,Entry,Critical Risk
2021,4,4,6,6,7.7,104.9,1.688,0.0635,1,388386.0,0.05,Cloud Architect,Lead,Low Risk
2019,4,2,6,6,7.12,98.6,1.067,0.0454,0,245365.0,0.57,BI Developer,Lead,High Risk
2021,1,15,3,3,4.17,107.7,1.172,0.0728,0,128294.0,0.98,Machine Learning Engineer,Entry,Critical Risk
2019,2,16,3,3,6.47,104.6,0.776,0.0783,0,115362.0,0.772,Operations Analyst,Mid,Critical Risk
2020,4,6,4,4,6.62,106.7,0.875,0.0674,0,201275.0,0.486,Data Analyst,Lead,Moderate Risk
2019,2,11,5,5,4.84,103.2,0.736,-0.0074,0,109467.0,0.98,Excel Analyst,Mid,Critical Risk
2019,1,6,4,4,3.58,106.6,0.764,0.0674,0,83622.0,0.98,Data Analyst,Entry,Critical Risk
2019,1,14,6,6,5.08,96.6,0.677,0.0167,0,74112.0,0.98,IT Support Specialist,Entry,Critical Risk
2020,2,9,5,5,7.38,105.2,1.33,0.061,1,197792.0,0.261,DevOps Engineer,Mid,Moderate Risk
2022,5,18,3,3,8.1,105.7,0.966,0.0194,1,247195.0,0.345,QA Engineer,Principal,Moderate Risk
2024,2,5,6,6,4.67,127.1,0.816,0.0492,0,121301.0,0.98,Content Strategist,Mid,Critical Risk
2023,3,5,4,4,7.32,111.4,0.93,0.0492,0,180881.0,0.572,Content Strategist,Senior,High Risk
2025,1,22,5,5,6.52,129.9,1.246,0.0662,0,136465.0,0.854,Statistician,Entry,Critical Risk
2020,5,22,6,6,5.82,96.8,1.152,0.0662,0,294698.0,0.98,Statistician,Principal,Critical Risk
2024,3,16,5,5,4.98,151.7,0.864,0.0783,0,167989.0,0.98,Operations Analyst,Senior,Critical Risk
2022,3,19,3,3,8.97,116.7,0.953,0.0467,1,185352.0,0.138,SEO Specialist,Senior,Low Risk
2019,4,5,4,4,5.18,108.4,0.743,0.0492,0,170847.0,0.98,Content Strategist,Lead,Critical Risk
2025,1,4,4,4,4.97,163.4,1.357,0.0635,0,148643.0,0.98,Cloud Architect,Entry,Critical Risk
2019,4,9,5,5,7.8,103.3,1.418,0.061,1,326186.0,0.057,DevOps Engineer,Lead,Low Risk
2025,4,13,5,5,5.32,141.6,0.834,0.015,0,191758.0,0.98,HR Analyst,Lead,Critical Risk
2024,3,16,3,3,4.27,155.0,0.604,0.0783,0,117528.0,0.98,Operations Analyst,Senior,Critical Risk
2025,1,12,5,5,3.46,114.9,0.799,0.0709,0,87553.0,0.98,Financial Analyst,Entry,Critical Risk
2022,3,7,5,5,6.48,130.0,1.462,0.1045,0,284263.0,0.98,Data Engineer,Senior,Critical Risk
2024,3,17,5,5,7.36,108.6,1.453,0.0733,1,282603.0,0.338,Product Manager,Senior,Moderate Risk
2019,1,17,6,6,6.28,98.2,1.254,0.0733,0,137368.0,0.808,Product Manager,Entry,Critical Risk
2022,4,15,4,4,4.72,112.8,1.247,0.0728,0,286828.0,0.98,Machine Learning Engineer,Lead,Critical Risk
2019,3,4,5,5,7.02,99.8,1.418,0.0635,1,275861.0,0.15,Cloud Architect,Senior,Low Risk
2019,5,4,3,3,6.37,93.6,1.269,0.0635,0,324585.0,0.612,Cloud Architect,Principal,High Risk
2022,1,2,4,4,6.15,119.9,0.903,0.0454,0,98909.0,0.81,BI Developer,Entry,Critical Risk
2024,3,19,4,4,7.38,141.7,0.869,0.0467,0,168971.0,0.63,SEO Specialist,Senior,High Risk
2022,1,7,6,6,5.35,110.4,1.32,0.1045,0,144591.0,0.98,Data Engineer,Entry,Critical Risk
2019,2,20,6,6,6.07,102.2,1.018,0.0651,0,151383.0,0.98,SQL Developer,Mid,Critical Risk
2021,5,8,5,5,8.7,108.0,1.531,0.0881,1,391656.0,0.05,Data Scientist,Principal,Low Risk
2022,2,22,3,3,4.17,125.8,0.792,0.0662,0,117805.0,0.98,Statistician,Mid,Critical Risk
2019,3,23,4,4,6.62,103.7,0.791,0.0549,0,153788.0,0.592,Supply Chain Analyst,Senior,High Risk
2022,4,19,6,6,7.52,113.1,1.125,0.0467,0,258698.0,0.497,SEO Specialist,Lead,Moderate Risk
2023,5,12,6,6,6.45,129.9,1.357,0.0709,0,347121.0,0.98,Financial Analyst,Principal,Critical Risk
2024,2,18,5,5,5.8,112.1,1.007,0.0194,0,149768.0,0.98,QA Engineer,Mid,Critical Risk
2023,3,4,3,3,1.93,134.6,1.091,0.0635,0,212175.0,0.98,Cloud Architect,Senior,Critical Risk
2025,1,18,4,4,3.92,108.7,0.81,0.0194,0,88745.0,0.98,QA Engineer,Entry,Critical Risk
2023,4,9,6,6,6.85,128.5,1.501,0.061,0,345161.0,0.447,DevOps Engineer,Lead,Moderate Risk
2023,4,1,5,5,5.84,146.7,0.897,0.0589,0,206225.0,0.98,Accountant,Lead,Critical Risk
2021,3,6,5,5,3.04,107.0,0.662,0.0674,0,128724.0,0.98,Data Analyst,Senior,Critical Risk
2025,2,11,5,5,4.48,93.3,0.716,-0.0074,0,106453.0,0.98,Excel Analyst,Mid,Critical Risk
2022,4,20,5,5,6.28,101.1,1.104,0.0651,0,253964.0,0.891,SQL Developer,Lead,Critical Risk
2024,4,5,3,3,7.1,116.3,0.798,0.0492,0,183465.0,0.734,Content Strategist,Lead,High Risk
2019,1,11,5,5,6.1,101.6,0.792,-0.0074,0,86679.0,0.98,Excel Analyst,Entry,Critical Risk
2022,1,13,5,5,5.72,122.5,0.87,0.015,0,95231.0,0.98,HR Analyst,Entry,Critical Risk
2023,3,9,3,3,8.67,115.9,1.185,0.061,1,230439.0,0.05,DevOps Engineer,Senior,Low Risk
2025,2,12,4,4,6.32,116.7,0.894,0.0709,0,133011.0,0.98,Financial Analyst,Mid,Critical Risk
2025,1,23,4,4,5.38,126.4,0.853,0.0549,0,93387.0,0.98,Supply Chain Analyst,Entry,Critical Risk
2025,3,0,5,5,7.1,143.3,1.617,0.0761,0,314577.0,0.375,AI Engineer,Senior,Moderate Risk
2023,5,21,5,5,4.42,120.3,1.02,0.044,0,260828.0,0.98,Software Developer,Principal,Critical Risk
2019,3,4,5,5,5.96,89.2,1.292,0.0635,0,251215.0,0.98,Cloud Architect,Senior,Critical Risk
2020,5,3,4,4,5.07,120.2,0.745,0.072,0,190530.0,0.98,Business Analyst,Principal,Critical Risk
2021,4,18,4,4,5.32,119.0,0.882,0.0194,0,202790.0,0.98,QA Engineer,Lead,Critical Risk
2024,3,10,4,4,5.32,112.2,0.807,0.0445,0,157008.0,0.98,Digital Marketer,Senior,Critical Risk
2022,3,7,5,5,6.04,123.9,1.388,0.1045,0,269992.0,0.98,Data Engineer,Senior,Critical Risk
2022,3,4,5,5,6.9,138.9,1.517,0.0635,0,295094.0,0.718,Cloud Architect,Senior,High Risk
2023,5,12,4,4,4.97,127.5,0.905,0.0709,0,231509.0,0.98,Financial Analyst,Principal,Critical Risk
2021,1,18,4,4,6.98,97.4,0.944,0.0194,0,103413.0,0.638,QA Engineer,Entry,High Risk
2025,2,16,5,5,7.8,137.7,1.305,0.0783,0,194037.0,0.477,Operations Analyst,Mid,Moderate Risk
2020,5,2,3,3,6.43,103.4,0.796,0.0454,0,203710.0,0.702,BI Developer,Principal,High Risk
2022,4,18,3,3,5.73,109.2,0.737,0.0194,0,169438.0,0.98,QA Engineer,Lead,Critical Risk
2019,5,4,3,3,4.0,95.1,1.109,0.0635,0,283591.0,0.98,Cloud Architect,Principal,Critical Risk
2021,2,0,5,5,8.14,121.8,1.8,0.0761,1,267728.0,0.05,AI Engineer,Mid,Low Risk
2022,5,17,5,5,6.98,117.3,1.369,0.0733,0,350082.0,0.426,Product Manager,Principal,Moderate Risk
2020,4,2,4,4,7.15,109.5,0.931,0.0454,0,214166.0,0.547,BI Developer,Lead,High Risk
2020,3,15,5,5,4.56,103.0,1.114,0.0728,0,216561.0,0.98,Machine Learning Engineer,Senior,Critical Risk
2025,1,6,6,6,6.72,128.0,1.124,0.0674,0,123081.0,0.647,Data Analyst,Entry,High Risk
2024,1,23,3,3,6.0,141.8,0.826,0.0549,0,90485.0,0.822,Supply Chain Analyst,Entry,Critical Risk
2024,4,7,3,3,6.5,115.5,1.27,0.1045,0,292178.0,0.356,Data Engineer,Lead,Moderate Risk
2020,2,1,4,4,7.0,96.6,0.807,0.0589,0,120002.0,0.785,Accountant,Mid,Critical Risk
2023,2,10,4,4,7.32,137.9,1.046,0.0445,0,155597.0,0.623,Digital Marketer,Mid,High Risk
2024,2,10,3,3,6.43,140.7,0.785,0.0445,0,116782.0,0.842,Digital Marketer,Mid,Critical Risk
2022,3,0,3,3,4.6,108.6,1.3,0.0761,0,252897.0,0.98,AI Engineer,Senior,Critical Risk
2021,3,9,3,3,4.17,98.3,0.961,0.061,0,186923.0,0.98,DevOps Engineer,Senior,Critical Risk
2020,2,23,6,6,6.72,105.9,1.175,0.0549,0,174774.0,0.704,Supply Chain Analyst,Mid,High Risk
2022,4,21,6,6,6.33,127.1,1.365,0.044,0,313994.0,0.961,Software Developer,Lead,Critical Risk
2019,1,2,6,6,4.48,111.1,0.89,0.0454,0,97514.0,0.98,BI Developer,Entry,Critical Risk
2021,1,1,6,6,8.52,116.7,1.273,0.0589,1,139356.0,0.05,Accountant,Entry,Low Risk
2019,5,16,4,4,4.97,108.2,0.821,0.0783,0,209998.0,0.98,Operations Analyst,Principal,Critical Risk
2024,1,1,6,6,5.3,154.8,1.001,0.0589,0,109638.0,0.98,Accountant,Entry,Critical Risk
2023,1,1,6,6,6.55,116.6,1.299,0.0589,0,142204.0,0.98,Accountant,Entry,Critical Risk
2021,5,3,6,6,6.28,116.8,1.001,0.072,0,256021.0,0.98,Business Analyst,Principal,Critical Risk
2022,4,8,3,3,3.7,102.7,0.857,0.0881,0,197162.0,0.98,Data Scientist,Lead,Critical Risk
2022,1,18,3,3,4.43,110.8,0.854,0.0194,0,93484.0,0.98,QA Engineer,Entry,Critical Risk
2023,3,13,4,4,5.03,124.4,0.742,0.015,0,144307.0,0.98,HR Analyst,Senior,Critical Risk
2019,4,11,6,6,5.08,108.4,0.785,-0.0074,0,180513.0,0.98,Excel Analyst,Lead,Critical Risk
2024,1,11,5,5,6.86,87.0,0.963,-0.0074,0,105454.0,0.904,Excel Analyst,Entry,Critical Risk
2020,2,10,5,5,5.76,106.8,0.784,0.0445,0,116566.0,0.98,Digital Marketer,Mid,Critical Risk
2025,3,20,3,3,2.17,110.3,0.591,0.0651,0,114996.0,0.98,SQL Developer,Senior,Critical Risk
2025,4,14,4,4,6.68,81.2,0.757,0.0167,0,174128.0,0.883,IT Support Specialist,Lead,Critical Risk
2022,4,12,4,4,5.72,120.7,0.929,0.0709,0,213628.0,0.98,Financial Analyst,Lead,Critical Risk
2023,3,1,6,6,5.08,152.6,0.784,0.0589,0,152553.0,0.98,Accountant,Senior,Critical Risk
2021,2,14,5,5,4.26,110.2,0.626,0.0167,0,93108.0,0.98,IT Support Specialist,Mid,Critical Risk
2023,2,13,5,5,4.62,147.7,0.798,0.015,0,118660.0,0.98,HR Analyst,Mid,Critical Risk
2020,5,5,5,5,4.24,111.0,0.596,0.0492,0,152372.0,0.98,Content Strategist,Principal,Critical Risk
2024,3,19,3,3,8.47,103.5,0.777,0.0467,1,151095.0,0.315,SEO Specialist,Senior,Moderate Risk
2019,3,20,5,5,4.84,89.2,0.869,0.0651,0,168939.0,0.98,SQL Developer,Senior,Critical Risk
2025,1,19,3,3,1.93,156.3,0.502,0.0467,0,54986.0,0.98,SEO Specialist,Entry,Critical Risk
2025,5,11,5,5,5.72,138.9,0.834,-0.0074,0,213262.0,0.98,Excel Analyst,Principal,Critical Risk
2024,5,4,5,5,4.38,152.8,1.328,0.0635,0,339732.0,0.98,Cloud Architect,Principal,Critical Risk
2024,3,16,4,4,5.5,137.4,0.828,0.0783,0,161020.0,0.98,Operations Analyst,Senior,Critical Risk
2024,2,8,3,3,8.27,126.6,1.144,0.0881,1,170125.0,0.05,Data Scientist,Mid,Low Risk
2021,2,7,3,3,6.13,122.7,1.057,0.1045,0,157207.0,0.551,Data Engineer,Mid,High Risk
2019,3,7,5,5,5.54,99.9,1.131,0.1045,0,219929.0,0.644,Data Engineer,Senior,High Risk
2024,5,4,3,3,6.3,133.6,1.489,0.0635,0,380738.0,0.347,Cloud Architect,Principal,Moderate Risk
2023,1,21,4,4,7.35,111.4,1.3,0.044,0,142364.0,0.361,Software Developer,Entry,Moderate Risk
2025,5,1,3,3,6.7,137.8,0.905,0.0589,0,231348.0,0.98,Accountant,Principal,Critical Risk
2024,5,1,5,5,6.46,145.8,1.007,0.0589,0,257458.0,0.821,Accountant,Principal,Critical Risk
2019,3,5,6,6,7.53,90.1,1.069,0.0492,0,207832.0,0.462,Content Strategist,Senior,Moderate Risk
2019,5,2,3,3,4.0,94.0,0.689,0.0454,0,176203.0,0.98,BI Developer,Principal,Critical Risk
2025,4,23,6,6,4.42,119.5,0.982,0.0549,0,225812.0,0.98,Supply Chain Analyst,Lead,Critical Risk
2024,1,4,3,3,6.37,138.6,1.47,0.0635,0,160932.0,0.33,Cloud Architect,Entry,Moderate Risk
2023,3,11,6,6,6.33,113.4,0.863,-0.0074,0,167769.0,0.98,Excel Analyst,Senior,Critical Risk
2023,5,6,3,3,3.97,123.1,0.77,0.0674,0,197049.0,0.98,Data Analyst,Principal,Critical Risk
2023,3,15,3,3,6.3,129.2,1.217,0.0728,0,236680.0,0.603,Machine Learning Engineer,Senior,High Risk
2025,1,23,4,4,4.9,147.1,0.878,0.0549,0,96172.0,0.98,Supply Chain Analyst,Entry,Critical Risk
2023,2,0,3,3,5.4,111.8,1.304,0.0761,0,193871.0,0.869,AI Engineer,Mid,Critical Risk
2019,5,12,3,3,6.67,102.7,0.801,0.0709,0,204749.0,0.566,Financial Analyst,Principal,High Risk
2024,2,9,4,4,5.98,109.7,1.247,0.061,0,185483.0,0.968,DevOps Engineer,Mid,Critical Risk
2019,5,2,6,6,4.93,92.6,1.006,0.0454,0,257368.0,0.98,BI Developer,Principal,Critical Risk
2020,5,17,5,5,5.9,107.7,1.241,0.0733,0,317334.0,0.98,Product Manager,Principal,Critical Risk
2019,3,20,5,5,3.88,106.0,0.692,0.0651,0,134497.0,0.98,SQL Developer,Senior,Critical Risk
2023,3,9,3,3,6.17,112.2,1.143,0.061,0,222287.0,0.419,DevOps Engineer,Senior,Moderate Risk
2024,4,13,4,4,5.15,132.3,0.752,0.015,0,173030.0,0.98,HR Analyst,Lead,Critical Risk
2021,4,0,4,4,4.1,101.5,1.279,0.0761,0,294184.0,0.98,AI Engineer,Lead,Critical Risk
2025,5,7,3,3,6.83,159.6,1.38,0.1045,0,353045.0,0.434,Data Engineer,Principal,Moderate Risk
2024,5,6,4,4,7.88,151.8,1.081,0.0674,1,276549.0,0.05,Data Analyst,Principal,Low Risk
2020,4,9,5,5,8.16,116.4,1.351,0.061,1,310812.0,0.05,DevOps Engineer,Lead,Low Risk
2019,2,23,4,4,5.72,101.5,0.76,0.0549,0,112971.0,0.98,Supply Chain Analyst,Mid,Critical Risk
2020,4,17,4,4,6.7,104.8,1.189,0.0733,0,273418.0,0.582,Product Manager,Lead,High Risk
2020,2,3,6,6,6.03,99.6,0.991,0.072,0,147420.0,0.98,Business Analyst,Mid,Critical Risk
2023,3,13,4,4,5.4,132.3,0.758,0.015,0,147346.0,0.98,HR Analyst,Senior,Critical Risk
2025,5,8,4,4,6.88,159.2,1.254,0.0881,0,320738.0,0.47,Data Scientist,Principal,Moderate Risk
2022,5,10,4,4,8.7,116.2,1.132,0.0445,1,289479.0,0.05,Digital Marketer,Principal,Low Risk
2021,2,20,5,5,3.72,102.2,0.749,0.0651,0,111358.0,0.98,SQL Developer,Mid,Critical Risk
2025,1,4,6,6,6.72,119.5,1.731,0.0635,0,189555.0,0.747,Cloud Architect,Entry,High Risk
2020,5,12,3,3,7.23,102.4,0.945,0.0709,0,241821.0,0.385,Financial Analyst,Principal,Moderate Risk
2020,4,5,3,3,2.4,107.1,0.478,0.0492,0,109909.0,0.98,Content Strategist,Lead,Critical Risk
2019,4,20,6,6,6.82,104.6,1.085,0.0651,0,249525.0,0.721,SQL Developer,Lead,High Risk
2020,5,1,5,5,6.26,113.4,0.885,0.0589,0,226297.0,0.98,Accountant,Principal,Critical Risk
2020,1,15,6,6,6.78,116.4,1.571,0.0728,0,172048.0,0.631,Machine Learning Engineer,Entry,High Risk
2023,5,3,3,3,6.03,138.9,0.817,0.072,0,209045.0,0.775,Business Analyst,Principal,Critical Risk
2023,4,6,5,5,5.6,111.7,0.843,0.0674,0,193915.0,0.98,Data Analyst,Lead,Critical Risk
2025,4,10,3,3,8.2,142.2,0.871,0.0445,1,200316.0,0.302,Digital Marketer,Lead,Moderate Risk
2020,3,8,6,6,5.17,104.9,1.162,0.0881,0,225939.0,0.98,Data Scientist,Senior,Critical Risk
2019,1,5,5,5,7.22,98.8,0.917,0.0492,0,100414.0,0.738,Content Strategist,Entry,High Risk
2021,4,19,5,5,5.56,118.7,0.689,0.0467,0,158580.0,0.98,SEO Specialist,Lead,Critical Risk
2023,2,10,6,6,6.55,138.3,1.039,0.0445,0,154564.0,0.915,Digital Marketer,Mid,Critical Risk
2025,1,23,4,4,8.22,155.9,0.98,0.0549,1,107365.0,0.102,Supply Chain Analyst,Entry,Low Risk
2025,5,19,6,6,6.18,173.7,1.123,0.0467,0,287156.0,0.98,SEO Specialist,Principal,Critical Risk
2022,1,8,5,5,6.22,142.4,1.275,0.0881,0,139587.0,0.724,Data Scientist,Entry,High Risk
2022,5,1,3,3,4.93,128.0,0.757,0.0589,0,193736.0,0.98,Accountant,Principal,Critical Risk
